numeric_time,Temperature (C)
543960.0,-262.3828591683888
544080.0,-262.3839193404644
544200.0,-262.3849673641832
544320.0,-262.3860303489629
544440.0,-262.3870865525092
544560.0,-262.3881378278261
544680.0,-262.38919847941827
544800.0,-262.3902528398776
544920.0,-262.3913016537816
545040.0,-262.39235481377443
545160.0,-262.39341202093414
545400.0,-262.394464516371
545520.0,-262.3955121080804
545640.0,-262.3965612563084
545760.0,-262.3976141789455
545880.0,-262.39866605243225
546000.0,-262.39971869239946
546120.0,-262.4007631624716
546240.0,-262.4018083507294
546360.0,-262.40285186572845
546480.0,-262.4039047824237
546600.0,-262.404959767574
546840.0,-262.40601644114344
546960.0,-262.40706695163584
547080.0,-262.40812343822626
547200.0,-262.4091764298483
547320.0,-262.41022831394173
547440.0,-262.4112778246456
547560.0,-262.4123211689249
547680.0,-262.413372242648
547800.0,-262.4144228279432
547920.0,-262.4154758087683
548040.0,-262.41652792148545
548280.0,-262.4175712496323
548400.0,-262.4186222273855
548520.0,-262.41966928668825
548640.0,-262.420717675409
548760.0,-262.4217620611624
548880.0,-262.4228119670121
549000.0,-262.423861020453
549120.0,-262.4249072657307
549240.0,-262.4259486171304
549360.0,-262.4269970387567
549600.0,-262.4280393367584
549720.0,-262.42909094029835
549840.0,-262.4301407691385
549960.0,-262.4311925322522
550080.0,-262.4322431976581
550200.0,-262.4332935147996
550320.0,-262.43434318683614
550440.0,-262.435394180974
550560.0,-262.43644185213293
550680.0,-262.43749049503487
550800.0,-262.4385429332581
551040.0,-262.4395902651375
551160.0,-262.4406379998114
551280.0,-262.4416807596422
551400.0,-262.44272217738063
551520.0,-262.4437620527673
551640.0,-262.44480505657776
551760.0,-262.445849936762
551880.0,-262.44689235274114
552000.0,-262.44793821118134
552120.0,-262.44898714053426
552240.0,-262.450033578803
552480.0,-262.45108099424584
552600.0,-262.4521264653284
552720.0,-262.4531682828611
552840.0,-262.4542127877092
552960.0,-262.4552573954681
553080.0,-262.4563037447974
553200.0,-262.4573498944134
553320.0,-262.4583943770684
553440.0,-262.45943759491576
553560.0,-262.4604754453459
553680.0,-262.4615154183128
553920.0,-262.4625618016966
554040.0,-262.463600626388
554160.0,-262.4646348663516
554280.0,-262.46567157531894
554400.0,-262.7049335332516
554520.0,-262.705948525515
554640.0,-262.70696087629324
554760.0,-262.70797261621414
554880.0,-262.7089852207117
555000.0,-262.70999850307294
555120.0,-261.8833129296563
555360.0,-261.88438151401425
555480.0,-261.8854551999224
555600.0,-261.8865377943244
555720.0,-261.88762940480416
555840.0,-261.8887115837522
555960.0,-261.8897976622061
556080.0,-261.90957886346104
556200.0,-262.4543354286973
556320.0,-262.5430709017137
556440.0,-262.590605091945
556560.0,-262.612601061194
556800.0,-262.6287725762206
556920.0,-262.48862805926746
557040.0,-262.32959222931487
557160.0,-262.34654128582184
557280.0,-262.36363349030984
557400.0,-262.42927847757335
557520.0,-262.43032737140334
557640.0,-262.5137746311776
557760.0,-262.60329619835125
557880.0,-262.6353651951468
558120.0,-262.6363453054676
558240.0,-262.637345196447
558360.0,-262.6383722392355
558480.0,-262.639382858681
558600.0,-262.64040642859214
558720.0,-262.6414040687894
558840.0,-262.6423840852701
558960.0,-262.6434059369168
559080.0,-262.644380392853
559200.0,-262.645385794202
559320.0,-262.64635202782216
559560.0,-262.64733587086323
559680.0,-262.64836995262897
559800.0,-262.6493663803678
559920.0,-262.6503908652676
560040.0,-262.6514011306269
560160.0,-262.65241522010405
560280.0,-262.65337330201226
560400.0,-262.6543683811092
560520.0,-262.6553450414104
560640.0,-262.65632772665725
560760.0,-262.6573462881359
561000.0,-262.65835697898393
561120.0,-262.6593545158344
561240.0,-262.66034472287123
561360.0,-262.66132620556925
561480.0,-262.66234353061856
561600.0,-262.6633504989542
561720.0,-262.66433840211346
561840.0,-262.6653220859167
561960.0,-262.64531349866434
562080.0,-262.6463059991974
562200.0,-262.64726088921265
562440.0,-262.45890917771936
562560.0,-262.4265944609835
562680.0,-262.3168399364632
562800.0,-262.31788890877846
562920.0,-262.31893801748805
563040.0,-262.3199848676457
563160.0,-262.32103810630963
563280.0,-262.3220830973161
563400.0,-262.3231055866061
563520.0,-262.324130578878
563640.0,-262.3251479708329
563880.0,-262.3261425524779
564000.0,-262.3271588778692
564120.0,-262.3282098547382
564240.0,-262.3292268375302
564360.0,-262.3302894557715
564480.0,-262.3313431164844
564600.0,-262.33240854260225
564720.0,-262.33344869887765
564840.0,-262.3344839372053
564960.0,-262.3355455520734
565080.0,-262.3366111853432
565320.0,-262.33764811892644
565440.0,-262.33868589690246
565560.0,-262.3396781123401
565680.0,-262.3406741621373
565800.0,-262.3417276104744
565920.0,-262.3427956592041
566040.0,-262.3438187881597
566160.0,-262.3448430613985
566280.0,-262.34589838178937
566400.0,-262.3469344246301
566640.0,-262.34794384911595
566760.0,-262.3489704562306
566880.0,-262.35002936549165
567000.0,-262.35106953289306
567120.0,-262.35208544911205
567240.0,-262.35310181642666
567360.0,-262.35415764561213
567480.0,-262.35515176347013
567600.0,-262.3561500598347
567720.0,-262.3571376864725
567840.0,-262.3581812202998
568080.0,-262.35918266230107
568200.0,-262.3602042028389
568320.0,-262.3611880566374
568440.0,-262.3622016567009
568560.0,-262.3632341424674
568680.0,-262.3642701353126
568800.0,-262.36528429691907
568920.0,-262.3663037412618
569040.0,-262.3673403654365
569160.0,-262.3683675155161
569280.0,-262.3694094209475
569520.0,-262.37043941828307
569640.0,-262.37143438616414
569760.0,-262.37244645034895
569880.0,-262.37344704168265
570000.0,-262.3744763507597
570120.0,-262.37549647856736
570240.0,-262.3764775847792
570360.0,-262.3774724934472
570480.0,-262.378491896579
570600.0,-262.37948321765214
570720.0,-262.38047541312227
570960.0,-262.38146412460384
571080.0,-262.3824905132567
571200.0,-262.38349717392765
571320.0,-262.3845126054631
571440.0,-262.3855180108802
571560.0,-262.3865192417544
571680.0,-262.387500156618
571800.0,-262.3885034673881
571920.0,-262.38949925476675
572040.0,-262.3905205483006
572160.0,-262.39155297507085
572400.0,-262.3925596354633
572520.0,-262.39359415954107
572640.0,-262.39463714235933
572760.0,-262.3956459485612
572880.0,-262.3966600481889
573000.0,-262.3976655690641
573120.0,-262.39868203835084
573240.0,-262.3996718920569
573360.0,-262.4007112225631
573480.0,-262.4016981131449
573600.0,-262.4026706498132
573840.0,-262.4036575721797
573960.0,-262.4046385288651
574080.0,-262.4056228282328
574200.0,-262.4066155895045
574320.0,-262.4076511131823
574440.0,-262.4086220663618
574560.0,-262.40962251901914
